"","ID","MonthlyIncome"
"1",871,5617.12360128589
"2",872,2810.26310543913
"3",873,12957.9535676251
"4",874,2607.2591723798
"5",875,2699.20917584664
"6",876,4914.51562174474
"7",877,5663.09860301931
"8",878,2469.33416717954
"9",879,3040.13811410623
"10",880,13335.6936467946
"11",881,9808.63518313441
"12",882,2699.20917584664
"13",883,5571.14859955247
"14",884,5525.17359781905
"15",885,5755.04860648615
"16",886,5627.06366658802
"17",887,5814.16946670369
"18",888,5764.98867178828
"19",889,4524.66671333232
"20",890,2790.55080647277
"21",891,4681.69564465823
"22",892,8935.11015019944
"23",893,8935.11015019944
"24",894,5571.14859955247
"25",895,9867.75604335196
"26",896,9220.90022590209
"27",897,9027.06015366628
"28",898,16165.3079583793
"29",899,5755.04860648615
"30",900,2856.23810717255
"31",901,2653.23417411322
"32",902,5801.02360821957
"33",903,6122.84862035351
"34",904,2745.18417758006
"35",905,16395.1829670464
"36",906,5479.19859608563
"37",907,9499.9560294846
"38",908,5810.9636735217
"39",909,2469.33416717954
"40",910,2626.36309850545
"41",911,19253.1009285168
"42",912,2836.52580820619
"43",913,2699.20917584664
"44",914,12510.264554821
"45",915,5810.9636735217
"46",916,4294.79170466522
"47",917,2718.31310197229
"48",918,5525.17359781905
"49",919,2399.43305825776
"50",920,2929.08418451374
"51",921,2537.35806345802
"52",922,2423.35916544612
"53",923,4478.6917115989
"54",924,4661.98334569187
"55",925,16854.9329843806
"56",926,2837.1341810469
"57",927,5755.04860648615
"58",928,12933.3218123393
"59",929,2423.35916544612
"60",930,2745.18417758006
"61",931,5984.92361515325
"62",932,12473.5717950051
"63",933,8981.08515193286
"64",934,2515.30916891296
"65",935,2423.35916544612
"66",936,2561.28417064638
"67",937,9316.05602255092
"68",938,9496.7502363026
"69",939,5095.47066025901
"70",940,2399.43305825776
"71",941,3067.009189714
"72",942,9027.06015366628
"73",943,9808.63518313441
"74",944,5627.06366658802
"75",945,2353.45805652434
"76",946,5584.29445803659
"77",947,2399.43305825776
"78",948,2718.31310197229
"79",949,2882.50080993961
"80",950,5663.09860301931
"81",951,3040.13811410623
"82",952,5663.09860301931
"83",953,5676.24446150343
"84",954,2653.23417411322
"85",955,4478.6917115989
"86",956,7842.04488940515
"87",957,10370.2752692376
"88",958,2837.1341810469
"89",959,9486.81017100048
"90",960,19942.7259545181
"91",961,2856.23810717255
"92",962,4681.69564465823
"93",963,5906.11947017053
"94",964,4753.93334915871
"95",965,2672.33810023887
"96",966,19437.0009354505
"97",967,2810.26310543913
"98",968,8981.08515193286
"99",969,16671.032977447
"100",970,2607.2591723798
"101",971,5617.12360128589
"102",972,5768.19446497027
"103",973,2607.2591723798
"104",974,2626.36309850545
"105",975,5673.03866832144
"106",976,2764.28810370571
"107",977,6181.96948057105
"108",978,2856.23810717255
"109",979,9450.77523456918
"110",980,19013.9436779322
"111",981,2629.30806692486
"112",982,9210.96016059996
"113",983,2653.23417411322
"114",984,2583.33306519144
"115",985,5663.09860301931
"116",986,2948.18811063939
"117",987,2626.36309850545
"118",988,5617.12360128589
"119",989,9634.67524150286
"120",990,2718.31310197229
"121",991,4799.90835089213
"122",992,2810.26310543913
"123",993,4753.93334915871
"124",994,5525.17359781905
"125",995,5571.14859955247
"126",996,5003.52065679217
"127",997,2718.31310197229
"128",998,16680.3152193645
"129",999,9073.0351553997
"130",1000,2423.35916544612
"131",1001,4937.83335609239
"132",1002,4270.86559747686
"133",1003,4727.67064639165
"134",1004,6362.66369432274
"135",1005,3040.13811410623
"136",1006,5709.07360475273
"137",1007,2445.40805999118
"138",1008,5768.19446497027
"139",1009,19151.8686831324
"140",1010,4638.66561134422
"141",1011,9450.77523456918
"142",1012,4819.62064985849
"143",1013,5892.97361168641
"144",1014,4570.64171506574
"145",1015,5709.07360475273
"146",1016,2745.18417758006
"147",1017,2837.1341810469
"148",1018,8981.08515193286
"149",1019,9073.0351553997
"150",1020,2580.38809677203
"151",1021,5709.07360475273
"152",1022,5617.12360128589
"153",1023,4589.74564119139
"154",1024,9683.85603641828
"155",1025,16165.3079583793
"156",1026,18921.9936744653
"157",1027,4616.00834395845
"158",1028,5525.17359781905
"159",1029,5479.19859608563
"160",1030,8531.66991540645
"161",1031,5479.19859608563
"162",1032,2974.45081340645
"163",1033,12427.5967932717
"164",1034,2626.36309850545
"165",1035,4570.64171506574
